wilaya,latitude,longitude
Adrar,27.162714,-1.528017
Ain-Defla,36.190065,2.087176
Ain-Temouchent,35.495151,-1.253336
Alger,36.776493,3.07038
Annaba,37.023449,7.48249
Batna,35.337452,6.014056
Bechar,31.73137,-2.221694
Bejaia,36.828824,4.971619
Biskra,34.919188,6.006627
Blida,36.483479,2.915771
Bordj Baji Mokhtar,21.062749,1.122899
Bordj Bou Arrer,36.072944,4.66996
Bouira,36.256023,3.785109
Boumerdes,36.860151,3.769201
Béni Abbès,29.202518,-3.068819
Chlef,36.505958,1.401213
Constantine,36.337315,6.676904
Djanet,24.432546,8.811641
Djelfa,34.784811,3.313203
El Bayadh,33.440229,0.797451
El M'Ghair,33.929812,5.68569
El Menia,30.796481,2.971874
El Oued,33.712039,7.147824
El-Tarf,36.894512,8.410657
Ghardaia,32.768224,3.680589
Guelma,36.383383,7.405127
Illizi,27.060146,7.995439
In Guezzam,19.975906,3.413066
In Salah,26.785714,2.810239
Jijel,36.801588,5.735073
Khenchela,35.118442,6.951571
Laghouat,33.764999,2.453376
M'Sila,35.410318,4.341261
Mascara,35.398947,0.14997
Medea,36.093798,2.975028
Mila,36.32801,6.15842
Mostaganem,36.019815,0.276988
Naama,33.36955,-0.974951
Oran,35.770722,-0.701382
Ouargla,31.537536,5.4803
Ouled Djellal,34.29179,4.623223
Oum El Bouaghi,35.867292,7.094613
Relizane,35.836023,0.80322
Saida,34.825528,0.11208
Setif,36.214321,5.342691
Sidi Bel Abbes,34.905146,-0.498005
Skikda,37.00718,6.955115
Souk-Ahras,36.172185,7.936304
Tamanrasset,24.562964,5.797249
Tebessa,35.284651,7.968733
Tiaret,35.230219,1.369187
Timimoun,29.363225,0.85583
Tindouf,28.630484,-5.85941
Tipaza,36.617901,2.362264
Tissemsilt,35.785079,1.740693
Tizi Ouzou,36.846413,4.185159
Tlemcen,35.133107,-1.790002
Touggourt,33.328858,6.241941
