latitude,longitude,building_density,road_density_km,industrial_presence,green_space_fraction
-41.3,174.78,18538,876.8439841565479,17,3020
-41.3,174.7833,17392,828.3757893476243,18,3005
-37.82,144.97,12742,1271.8734354674368,5,8675
-35.2833,149.2167,62,89.88019307987834,0,6
-35.28,149.22,28,77.40331871912251,0,1
-34.86,-56.17,650,451.53352709715074,9,77
-34.8581,-56.1708,621,438.0048097750583,9,54
-34.59,-58.67,86,326.449647202678,8,29
-34.5875,-58.6725,143,324.98839226445665,11,30
-33.45,-70.67,6653,600.2660481469916,26,5153
-33.45,-70.6667,7808,597.4537764996451,26,5562
-29.32,27.48,8914,288.3333062590382,19,1462
-29.3167,27.4833,9002,300.3799952911796,20,1624
-26.32,31.13,7996,297.4838219403074,1,134
-26.3167,31.1333,7903,303.9430716594329,2,136
-25.97,32.59,12906,246.82521157784208,0,6960
-25.9653,32.5892,20567,315.1639469262267,1,9764
-25.75,28.19,3990,373.17735753268715,0,172
-25.7469,28.188,4489,362.80890912024836,0,167
-25.27,-57.67,5825,93.97746469148807,10,6
-24.65,25.91,14140,360.6368027726824,3,27
-24.6464,25.9119,13939,364.09621806455425,2,25
-24.37,46.45,0,0.0,0,0
-24.3667,46.45,0,0.0,0,0
-23.53,-46.62,29994,648.9962866971672,9,998
-23.4333,-61.3333,0,0.0,0,0
-23.43,-61.33,0,0.0,0,0
-22.5717,17.0822,8774,314.0098183086604,2,525
-22.57,17.08,9026,317.07938425983014,2,528
-21.9833,-58.4333,0,0.0,0,0
-21.55,-58.12,0,35.79722453461393,0,0
-21.55,-58.1167,0,35.79722453461393,0,0
-21.1333,-175.2,8352,158.59682799901103,13,316
-21.13,-175.2,7247,145.11139612521325,10,316
-20.1619,57.4989,6415,288.9363154196645,13,55
-20.16,57.5,6116,294.7691906956283,11,55
-19.85,-58.5167,0,11.211080923350421,0,0
-19.7,-58.7167,0,40.69877324507315,0,0
-19.45,-61.15,0,0.0,0,0
-19.0431,-65.2592,421,419.9504095399629,8,207
-19.04,-65.26,392,435.10737988432487,9,205
-18.92,47.52,30485,282.321407629511,12,129
-18.9167,47.5167,36330,280.3487603599469,13,132
-18.1333,178.4167,2136,67.28688141273291,12,120
-18.13,178.42,3090,95.66675085585022,15,71
-17.82,31.04,4612,304.7930921740296,4,18
-17.8178,31.0447,4422,302.57079349811,4,17
-17.7333,168.3167,9626,161.7288177940507,0,38
-17.73,168.32,10272,166.28080484014683,0,19
-15.42,28.28,17732,330.4776491831786,8,5
-15.4167,28.2833,14432,322.58459442896327,9,5
