latitude,longitude
-41.3,174.78
-41.3,174.7833
-37.82,144.97
-35.2833,149.2167
-35.28,149.22
-34.86,-56.17
-34.8581,-56.1708
-34.59,-58.67
-34.5875,-58.6725
-33.45,-70.67
-33.45,-70.6667
-29.32,27.48
-29.3167,27.4833
-26.32,31.13
-26.3167,31.1333
-25.97,32.59
-25.9653,32.5892
-25.75,28.19
-25.7469,28.188
-25.27,-57.67
-24.65,25.91
-24.6464,25.9119
-24.37,46.45
-24.3667,46.45
-23.53,-46.62
-23.4333,-61.3333
-23.43,-61.33
-22.5717,17.0822
-22.57,17.08
-21.9833,-58.4333
-21.55,-58.12
-21.55,-58.1167
-21.1333,-175.2
-21.13,-175.2
-20.1619,57.4989
-20.16,57.5
-19.85,-58.5167
-19.7,-58.7167
-19.45,-61.15
-19.0431,-65.2592
-19.04,-65.26
-18.92,47.52
-18.9167,47.5167
-18.1333,178.4167
-18.13,178.42
-17.82,31.04
-17.8178,31.0447
-17.7333,168.3167
-17.73,168.32
-15.42,28.28
-15.4167,28.2833
-13.9833,33.7833
-13.98,33.78
-13.8333,-171.7333
-13.83,-171.73
-12.35,43.85
-12.05,-77.05
-11.7042,43.2403
-11.7,43.24
-11.1833,-67.0833
-11.18,-67.08
-9.4647,147.1925
-9.46,147.19
-9.4333,159.95
-9.43,159.95
-8.84,13.23
-8.8383,13.2344
-8.56,125.57
-8.5586,125.5736
-8.52,179.22
-8.5167,179.2167
-8.1826,114.3188
-8.18,114.32
-7.25,112.75
-6.2146,106.8451
-6.21,106.85
-6.1833,35.75
-6.18,35.75
-4.62,55.45
-4.6167,55.45
-4.3,15.3
-4.26,15.28
-4.2592,15.2847
-4.05,39.67
-3.38,29.36
-3.3761,29.36
-2.0833,-58.1667
-2.08,-58.17
-1.9536,30.0606
-1.95,30.06
-1.2833,36.8167
-1.28,36.82
-0.8833,169.5333
-0.88,169.53
-0.22,-78.5
-0.2167,-78.5
-0.14,98.19
0.3156,32.5656
0.32,32.57
0.38,9.45
0.3833,9.45
1.29,103.86
1.2931,103.8558
2.0667,45.3667
2.07,45.37
3.1667,101.7
3.17,101.7
3.48,73.53
3.75,8.78
3.75,8.7833
3.87,11.52
4.05,9.7
4.0503,9.7
4.17,73.5
4.3667,18.5833
4.37,18.58
4.6,-74.08
4.63,118.37
4.88,114.93
4.8833,114.9333
5.47,10.42
5.55,-0.22
5.55,-0.2167
5.83,-55.17
5.8333,-55.1667
6.13,1.22
6.31,-10.8
6.3106,-10.8047
6.43,-70.92
6.48,2.62
6.4833,2.6167
6.8,-58.17
6.8,-58.1667
6.8167,-5.2833
6.88,73.1
6.8833,73.1
6.9167,158.15
6.92,158.15
6.93,79.85
6.9319,79.8478
7.1,171.38
7.1,171.3833
7.3167,13.5833
7.32,13.58
7.33,134.48
7.3333,134.4833
7.35,134.45
7.3575,134.5578
7.36,134.51
7.36,134.56
7.5,134.57
8.49,-13.2342
8.49,-13.23
8.9667,-79.5333
8.97,-79.53
9.03,38.7
9.0333,38.7
9.1758,7.1808
9.18,7.18
9.5092,-13.7122
9.51,-13.71
9.8,-84.17
9.8,-84.1667
9.9333,-84.0833
9.97,-84.08
10.5,-66.92
10.5,-66.9167
10.65,-61.52
10.65,-61.5167
10.75,106.67
11.2667,108.2333
11.55,104.9167
11.55,104.92
11.595,43.1481
11.6,43.15
11.85,-15.5833
11.85,-15.58
12.05,-61.75
12.11,15.05
12.1131,15.0492
12.15,-86.27
12.15,24.45
12.1508,-86.2683
12.37,-1.52
12.3703,-1.5247
12.65,-8.0
13.1,-59.62
13.1,-59.6167
13.13,-61.22
13.1333,-61.2167
13.45,-16.58
13.4531,-16.5775
13.5167,2.1167
13.52,2.12
13.6667,1.7833
13.7086,-89.2031
13.71,-89.2
13.75,100.5167
13.75,100.52
14.0,-61.0
14.1,-87.22
14.1,-87.2167
14.6,120.98
14.6042,120.9822
14.62,-90.53
14.6211,-90.5269
14.67,-17.44
14.6708,-17.4381
14.93,-23.51
14.9315,-23.5125
15.3,-61.4
15.33,38.93
15.3333,38.9333
15.35,44.21
15.3547,44.2067
15.5881,32.5342
15.59,32.53
16.78,94.73
16.78,96.17
16.7833,96.1667
17.1167,-61.85
17.12,-61.85
17.25,-88.77
17.25,-88.7667
17.3,-62.72
17.3,-62.7167
17.93,-76.85
17.9333,-76.85
17.97,-76.75
17.97,102.6
18.0,-76.8
18.0864,-15.9753
18.09,-15.98
18.4667,-69.9
18.47,-69.9
18.5392,-72.335
18.54,-72.34
18.78,100.78
18.7833,100.7833
19.4285,-99.1277
19.43,-99.13
21.03,105.85
21.0333,105.85
21.13,104.7
21.1333,104.7
23.13,-82.36
23.1319,-82.3642
23.61,58.59
23.6133,58.5933
23.72,90.41
23.7231,90.4086
24.4667,54.3667
24.47,54.37
24.64,46.77
24.6408,46.7728
25.08,-77.35
25.0833,-77.35
25.2867,51.5333
25.29,51.53
26.2361,50.5831
26.24,50.58
27.42,-109.93
27.48,89.6
27.4833,89.6
27.7167,85.3167
27.72,85.32
28.6,77.2
29.3667,47.96
29.37,47.96
29.37,47.98
30.05,31.25
31.63,-8.0
31.78,35.23
31.95,35.93
31.95,35.9333
32.89,13.18
33.3386,44.3939
33.34,44.39
33.5,36.3
33.7,73.1667
33.7,73.17
33.78,-89.81
33.87,35.51
33.8719,35.5097
34.0253,-6.8361
34.03,-6.84
34.5167,69.1833
34.52,69.18
35.1667,33.3667
35.17,33.37
35.6895,139.6917
35.69,139.69
35.7261,51.3304
35.73,51.33
35.8997,14.5147
35.9,14.51
36.26,46.59
36.2625,46.59
36.76,3.05
36.7631,3.0506
36.8,10.18
36.8028,10.1797
37.5664,126.9997
37.57,127.0
37.7,65.37
37.95,58.38
37.95,58.3833
37.9795,23.7162
37.98,23.72
38.56,68.77
38.56,68.7739
38.7167,-9.1333
38.72,-9.13
38.85,34.65
39.0194,125.7547
39.02,125.75
39.53,-111.59
39.55,27.6167
39.55,27.62
39.9272,32.8644
39.9289,116.3883
39.93,32.86
39.93,116.39
40.18,44.51
40.1811,44.5136
40.3953,49.8822
40.4,-3.6833
40.4,-3.68
40.4,49.88
40.71,-74.01
41.3167,69.25
41.32,69.25
41.3275,19.8189
41.33,19.82
41.725,44.7908
41.73,44.79
41.9,12.45
41.9,12.48
41.9,12.4833
41.904,12.453
42.0,21.43
42.0,21.4333
42.44,19.26
42.4411,19.2636
42.5,1.5167
42.5,1.52
42.67,21.17
42.68,23.32
42.6833,23.3167
42.87,74.6
42.8731,74.6003
43.3167,24.7
43.32,24.7
43.73,7.42
43.7333,7.4167
43.81,23.24
43.8139,23.2361
43.85,18.38
43.85,18.3833
43.93,12.45
43.9333,12.45
44.43,26.1
44.4333,26.1
44.8,20.47
44.804,20.4651
45.4167,-75.7
45.42,-75.7
45.8,16.0
46.0553,14.5144
46.06,14.51
46.6,-120.49
46.6167,9.9833
46.9167,7.4667
46.92,7.47
47.13,9.52
47.1333,9.5167
47.25,16.8333
47.5,19.08
47.5,19.0833
47.9167,106.9167
47.92,106.92
48.0792,-123.0439
48.08,-123.04
48.15,17.1167
48.15,17.12
48.2,16.3667
48.2,16.37
48.8667,2.3333
48.87,2.33
49.61,6.13
49.6117,6.13
50.08,14.47
50.0833,14.4667
50.43,30.52
50.4333,30.5167
50.6,4.1333
50.83,4.33
50.8333,4.3333
50.88,2.98
51.1,4.75
51.12,17.53
51.18,71.43
51.1811,71.4278
51.25,3.63
51.25,3.6333
51.5171,-0.1062
51.52,-0.11
51.7,94.45
52.25,21.0
52.37,4.89
52.374,4.8897
52.5167,13.4
52.52,13.4
53.33,-6.25
53.33,21.62
53.3331,-6.2489
53.9,27.5667
53.9,27.57
54.68,25.32
54.6833,25.3167
55.6667,12.5833
55.67,12.58
55.75,37.62
55.7522,37.6156
56.95,24.1
59.13,44.3
59.33,18.05
59.3333,18.05
59.43,24.73
59.4339,24.7281
59.89,30.26
59.9167,10.75
59.92,10.75
60.1756,24.9342
60.18,24.93
63.365,-20.2075
63.37,-20.21
63.83,-22.43
64.15,-21.95
